element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,B230312A22RIK,B230312A22RIK,,1847.1926364470523,2627.2582705494206,-780.0656341023682,negative
vertex,B4GALNT1,B4GALNT1,,1847.1926364470523,2627.352675837378,-780.1600393903254,negative
vertex,B4GALT1,B4GALT1,,1847.1926364470523,2626.5192621196948,-779.3266256726424,negative
vertex,BAG3,BAG3,,1847.1926364470523,2626.9454557049808,-779.7528192579284,negative
vertex,BASP1;LOC100045716,BASP1;LOC100045716,,1847.1926364470523,2627.36247675445,-780.1698403073979,negative
vertex,BATF,BATF,,1847.1926364470523,2623.419579008818,-776.2269425617656,negative
vertex,BATF3,BATF3,,1847.1926364470523,2628.780623496654,-781.5879870496015,negative
vertex,BC021614,BC021614,,1847.1926364470523,2628.815764014276,-781.6231275672235,negative
vertex,BCAP29,BCAP29,,1847.1926364470523,2628.748073326456,-781.5554368794037,negative
vertex,BCL11B,BCL11B,,1847.1926364470523,2628.582980695406,-781.3903442483538,negative
vertex,BCL2A1A;BCL2A1B;BCL2A1D,BCL2A1A;BCL2A1B;BCL2A1D,,1847.1926364470523,2628.951256333197,-781.7586198861445,negative
vertex,BCL2L11,BCL2L11,,1847.1926364470523,2627.9909520468946,-780.7983155998422,negative
vertex,BCL3,BCL3,,1847.1926364470523,2628.5370334935837,-781.3443970465314,negative
vertex,BCL6,BCL6,,1847.1926364470523,2628.087885640826,-780.8952491937735,negative
vertex,BID,BID,,1847.1926364470523,2628.1808918987476,-780.9882554516953,negative
vertex,BIRC2,BIRC2,,1847.1926364470523,2628.1727722394194,-780.980135792367,negative
vertex,BLCAP,BLCAP,,1847.1926364470523,2627.3571658542737,-780.1645294072214,negative
vertex,BMP2K,BMP2K,,1847.1926364470523,2627.51512436762,-780.3224879205677,negative
vertex,BMPR1A,BMPR1A,,1847.1926364470523,2627.673884624451,-780.4812481773988,negative
vertex,BUB1,BUB1,,1847.1926364470523,2627.684961246428,-780.4923247993756,negative
vertex,BZW2,BZW2,,1847.1926364470523,2627.6054451274213,-780.4128086803689,negative
vertex,C79468,C79468,,1847.1926364470523,2627.5576743673205,-780.3650379202682,negative
vertex,CADM1,CADM1,,1847.1926364470523,2627.790442088641,-780.5978056415888,negative
vertex,CALCRL,CALCRL,,1847.1926364470523,2627.764519708745,-780.5718832616926,negative
vertex,CALM2,CALM2,,1847.1926364470523,2627.7662205055353,-780.573584058483,negative
vertex,CAPG,CAPG,,1847.1926364470523,2627.7449779427925,-780.5523414957402,negative
vertex,CAPN2,CAPN2,,1847.1926364470523,2627.4278537125697,-780.2352172655173,negative
vertex,CAR2,CAR2,,1847.1926364470523,2627.6321899669483,-780.439553519896,negative
vertex,CASP1,CASP1,,1847.1926364470523,2627.414512835658,-780.2218763886058,negative
vertex,CASP3,CASP3,,1847.1926364470523,2610.6348538805896,-763.4422174335373,negative
vertex,CASP4,CASP4,,1847.1926364470523,2610.654229159359,-763.4615927123068,negative
vertex,CASP6,CASP6,,1847.1926364470523,2609.6866204924104,-762.493984045358,negative
vertex,CBFB,CBFB,,1847.1926364470523,2610.161530387305,-762.9688939402527,negative
vertex,CBR4;LOC100046395,CBR4;LOC100046395,,1847.1926364470523,2610.015662888417,-762.8230264413646,negative
vertex,CCDC50,CCDC50,,1847.1926364470523,2610.069413116456,-762.8767766694036,negative
vertex,CCDC88C,CCDC88C,,1847.1926364470523,2610.042601029862,-762.8499645828097,negative
vertex,CCL1,CCL1,,1847.1926364470523,2610.0948308580273,-762.902194410975,negative
vertex,CCL20,CCL20,,1847.1926364470523,2628.7537804730396,-781.5611440259872,negative
vertex,CCL3,CCL3,,1847.1926364470523,2612.2521303365775,-765.0594938895251,negative
vertex,CCL4,CCL4,,1847.1926364470523,2612.257572943414,-765.0649364963615,negative
vertex,CCNH,CCNH,,1847.1926364470523,2628.3364740072857,-781.1438375602334,negative
vertex,CCR4,CCR4,,1847.1926364470523,2627.94519012499,-780.7525536779376,negative
vertex,CCR5,CCR5,,1847.1926364470523,2628.149291424811,-780.9566549777587,negative
vertex,CCR6,CCR6,,1847.1926364470523,2628.156271642553,-780.9636351955005,negative
vertex,CCR8,CCR8,,1847.1926364470523,2628.164723884888,-780.9720874378359,negative
vertex,CCS,CCS,,1847.1926364470523,2628.180701556582,-780.9880651095295,negative
vertex,CD160,CD160,,1847.1926364470523,2628.1843952003237,-780.9917587532714,negative
vertex,CD1D1,CD1D1,,1847.1926364470523,2627.59633651136,-780.4037000643075,negative
vertex,CD2,CD2,,1847.1926364470523,2626.840666979133,-779.6480305320806,negative
vertex,CD200,CD200,,1847.1926364470523,2627.370345201329,-780.1777087542769,negative
vertex,CD247,CD247,,1847.1926364470523,2627.158682826464,-779.9660463794116,negative
vertex,CD24A,CD24A,,1847.1926364470523,2627.4062700924146,-780.2136336453623,negative
vertex,CD27,CD27,,1847.1926364470523,2627.35307801807,-780.1604415710176,negative
vertex,CD274,CD274,,1847.1926364470523,2626.748057695311,-779.5554212482589,negative
vertex,CD28,CD28,,1847.1926364470523,2626.620004723461,-779.4273682764087,negative
vertex,CD38,CD38,,1847.1926364470523,2627.0378706150036,-779.8452341679513,negative
vertex,CD3D,CD3D,,1847.1926364470523,2643.2278213302966,-796.0351848832443,negative
vertex,CD3G,CD3G,,1847.1926364470523,2643.241772801256,-796.0491363542037,negative
vertex,CD4,CD4,,1847.1926364470523,2610.4223386806866,-763.2297022336343,negative
vertex,CD47,CD47,,1847.1926364470523,2626.9078871801225,-779.7152507330702,negative
vertex,CD5L,CD5L,,1847.1926364470523,2609.8384055076745,-762.6457690606221,negative
vertex,CD70,CD70,,1847.1926364470523,2610.42964859668,-763.2370121496278,negative
vertex,CD74,CD74,,1847.1926364470523,2610.6577386150793,-763.465102168027,negative
vertex,CD80,CD80,,1847.1926364470523,2610.642859637009,-763.4502231899569,negative
vertex,CD81,CD81,,1847.1926364470523,2610.469706826651,-763.2770703795986,negative
vertex,CD83,CD83,,1847.1926364470523,2592.50710239485,-745.3144659477975,negative
